country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
PNG	0.07326007326007326	0.08058608058608059	0.08424908424908426	0.11721611721611722	0.10256410256410256	0.10256410256410256	0.09157509157509157	0.08791208791208792	0.10622710622710622	0.08791208791208792	0.06593406593406594	7
PRY	0.06818181818181818	0.07007575757575757	0.11553030303030302	0.08901515151515152	0.10037878787878787	0.0946969696969697	0.0946969696969697	0.08901515151515152	0.09090909090909091	0.09848484848484848	0.08901515151515152	16
PER	0.07394957983193277	0.08123249299719888	0.10084033613445378	0.0915032679738562	0.09635854341736695	0.08982259570494865	0.08832866479925304	0.08888888888888889	0.1030812324929972	0.09281045751633987	0.09318394024276377	150
PHL	0.06893567926160946	0.08364580328814537	0.09691375829247188	0.09114508220363426	0.0951831554658206	0.08422267089702913	0.09720219209691376	0.09374098644361119	0.10008653014133256	0.09489472166137872	0.09402942024805307	95
POL	0.06346629560915275	0.08151669758812616	0.09570191713048856	0.08669604205318492	0.09755720470006184	0.09025200989486704	0.09288033395176253	0.0935374149659864	0.10826376004947434	0.09485157699443414	0.09527674706246135	769
PRT	0.07151585310952473	0.07942632966750274	0.0951829699659142	0.09222458035886552	0.10087465431860569	0.08717602418161939	0.08688661650266898	0.09035950865007396	0.10322207215898128	0.09704804167470577	0.09608334941153772	864
PRI	0.07062600321027288	0.08560727661851257	0.10165864098448368	0.09416800428036383	0.10807918673087212	0.08400214018191546	0.08560727661851257	0.08614232209737828	0.09149277688603531	0.09844836811128946	0.09416800428036383	49
QAT	0.09523809523809523	0.0873015873015873	0.09523809523809523	0.07936507936507936	0.09523809523809523	0.11904761904761904	0.07142857142857142	0.09523809523809523	0.07936507936507936	0.10317460317460317	0.07936507936507936	4
ROU	0.06914488708449631	0.08170515097690942	0.1016239533113423	0.08919056077137782	0.10098959654909921	0.08475006343567622	0.09401167216442527	0.08842933265668612	0.1001014970819589	0.09781781273788379	0.09223547323014464	234
RUS	0.07520685188611911	0.08157762563112955	0.09423986888366068	0.08911152819265643	0.09989690449126332	0.09344682650876311	0.09492717227523857	0.09016891802585318	0.09561447566681647	0.09516508498770784	0.09064474345079172	1154
